Indicator,Value,Year,Footnote,Source,Economy,Country Code,Region,Theme,Definition,Unit
Private Consumption Expenditures (% of GDP),58.32615,1997,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Market value of all goods and services, including durable products (such as cars, washing machines, and home computers), purchased or received as income in kind by households, expressed as a percentage of GDP.",percent
Private Consumption Expenditures (% of GDP),59.32851,1998,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Market value of all goods and services, including durable products (such as cars, washing machines, and home computers), purchased or received as income in kind by households, expressed as a percentage of GDP.",percent
Private Consumption Expenditures (% of GDP),56.45318,1999,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Market value of all goods and services, including durable products (such as cars, washing machines, and home computers), purchased or received as income in kind by households, expressed as a percentage of GDP.",percent
Private Consumption Expenditures (% of GDP),44.60502,2000,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Market value of all goods and services, including durable products (such as cars, washing machines, and home computers), purchased or received as income in kind by households, expressed as a percentage of GDP.",percent
Private Consumption Expenditures (% of GDP),47.7314,2001,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Market value of all goods and services, including durable products (such as cars, washing machines, and home computers), purchased or received as income in kind by households, expressed as a percentage of GDP.",percent
Gross Domestic Capital Formation (% of GDP),22.746,1996,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Total value of gross fixed capital formation, changes in inventories, and acquisitions less disposals of valuables, expressed as a percentage of GDP.",percent
Gross Domestic Capital Formation (% of GDP),21.05657,1997,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Total value of gross fixed capital formation, changes in inventories, and acquisitions less disposals of valuables, expressed as a percentage of GDP.",percent
Gross Domestic Capital Formation (% of GDP),17.90607,1998,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Total value of gross fixed capital formation, changes in inventories, and acquisitions less disposals of valuables, expressed as a percentage of GDP.",percent
Gross Domestic Capital Formation (% of GDP),16.368,1999,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Total value of gross fixed capital formation, changes in inventories, and acquisitions less disposals of valuables, expressed as a percentage of GDP.",percent
Gross Domestic Capital Formation (% of GDP),21.89217,2000,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Total value of gross fixed capital formation, changes in inventories, and acquisitions less disposals of valuables, expressed as a percentage of GDP.",percent
Gross Domestic Capital Formation (% of GDP),22.95143,2001,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Total value of gross fixed capital formation, changes in inventories, and acquisitions less disposals of valuables, expressed as a percentage of GDP.",percent
Exports of Goods and Services (% of GDP),52.61826,1996,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of sales, barter, or gifts or grants, of goods and services from residents to nonresidents, expressed as a percentage of GDP.",percent
Exports of Goods and Services (% of GDP),46.78296,1997,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of sales, barter, or gifts or grants, of goods and services from residents to nonresidents, expressed as a percentage of GDP.",percent
Exports of Goods and Services (% of GDP),50.51964,1998,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of sales, barter, or gifts or grants, of goods and services from residents to nonresidents, expressed as a percentage of GDP.",percent
Exports of Goods and Services (% of GDP),63.11819,1999,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of sales, barter, or gifts or grants, of goods and services from residents to nonresidents, expressed as a percentage of GDP.",percent
Exports of Goods and Services (% of GDP),66.17775,2000,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of sales, barter, or gifts or grants, of goods and services from residents to nonresidents, expressed as a percentage of GDP.",percent
Exports of Goods and Services (% of GDP),65.32997,2001,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of sales, barter, or gifts or grants, of goods and services from residents to nonresidents, expressed as a percentage of GDP.",percent
Imports of Goods and Services (% of GDP),44.14535,1996,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from nonresidents, expressed as a percentage of GDP.",percent
Imports of Goods and Services (% of GDP),45.43541,1997,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from nonresidents, expressed as a percentage of GDP.",percent
Imports of Goods and Services (% of GDP),45.81406,1998,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from nonresidents, expressed as a percentage of GDP.",percent
Imports of Goods and Services (% of GDP),52.88847,1999,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from nonresidents, expressed as a percentage of GDP.",percent
Imports of Goods and Services (% of GDP),49.24249,2000,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from nonresidents, expressed as a percentage of GDP.",percent
Imports of Goods and Services (% of GDP),52.25032,2001,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from nonresidents, expressed as a percentage of GDP.",percent
Population (% change),3.1167,2006,NULL,Asian Development Bank,Papua New Guinea,PNG,The Pacific,People,Percentage of people added to (or subtracted from) a population in a year because of natural increase and net migration.,percent
Imports of Goods and Services (% of GDP),56.94671,2002,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from nonresidents, expressed as a percentage of GDP.",percent
Agriculture (% change),7.49197,1996,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of agriculture less the corresponding value of intermediate consumption. Agriculture includes hunting, forestry, and fishing.",percent
Agriculture (% change),-8.39648,1997,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of agriculture less the corresponding value of intermediate consumption. Agriculture includes hunting, forestry, and fishing.",percent
Agriculture (% change),2.11675,1998,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of agriculture less the corresponding value of intermediate consumption. Agriculture includes hunting, forestry, and fishing.",percent
Agriculture (% change),13.80648,1999,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of agriculture less the corresponding value of intermediate consumption. Agriculture includes hunting, forestry, and fishing.",percent
Agriculture (% change),2.06203,2000,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of agriculture less the corresponding value of intermediate consumption. Agriculture includes hunting, forestry, and fishing.",percent
Agriculture (% change),-4.74475,2001,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of agriculture less the corresponding value of intermediate consumption. Agriculture includes hunting, forestry, and fishing.",percent
Industry (% change),12.90056,1996,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of industry sectors less the corresponding value of intermediate consumption. Industry sector includes mining, manufacturing, construction, electricity, gas, steam and air conditioning supply.",percent
Industry (% change),-15.14789,1997,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of industry sectors less the corresponding value of intermediate consumption. Industry sector includes mining, manufacturing, construction, electricity, gas, steam and air conditioning supply.",percent
Industry (% change),11.20302,1998,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of industry sectors less the corresponding value of intermediate consumption. Industry sector includes mining, manufacturing, construction, electricity, gas, steam and air conditioning supply.",percent
Industry (% change),0.2207,1999,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of industry sectors less the corresponding value of intermediate consumption. Industry sector includes mining, manufacturing, construction, electricity, gas, steam and air conditioning supply.",percent
Industry (% change),-0.75035,2000,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of industry sectors less the corresponding value of intermediate consumption. Industry sector includes mining, manufacturing, construction, electricity, gas, steam and air conditioning supply.",percent
Industry (% change),-0.05752,2001,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of industry sectors less the corresponding value of intermediate consumption. Industry sector includes mining, manufacturing, construction, electricity, gas, steam and air conditioning supply.",percent
Services (% change),0.02154,1996,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of services sectors less the corresponding value of intermediate consumption. Services includes wholesale and retail trade, transport and storage, accommodation and food service activities, financial and insurance activities, real estate, and professional and technical services.",percent
Services (% change),4.10062,1997,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of services sectors less the corresponding value of intermediate consumption. Services includes wholesale and retail trade, transport and storage, accommodation and food service activities, financial and insurance activities, real estate, and professional and technical services.",percent
Services (% change),3.08673,1998,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of services sectors less the corresponding value of intermediate consumption. Services includes wholesale and retail trade, transport and storage, accommodation and food service activities, financial and insurance activities, real estate, and professional and technical services.",percent
Services (% change),-9.23978,1999,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of services sectors less the corresponding value of intermediate consumption. Services includes wholesale and retail trade, transport and storage, accommodation and food service activities, financial and insurance activities, real estate, and professional and technical services.",percent
Services (% change),-12.6968,2000,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of services sectors less the corresponding value of intermediate consumption. Services includes wholesale and retail trade, transport and storage, accommodation and food service activities, financial and insurance activities, real estate, and professional and technical services.",percent
Services (% change),7.46163,2001,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of services sectors less the corresponding value of intermediate consumption. Services includes wholesale and retail trade, transport and storage, accommodation and food service activities, financial and insurance activities, real estate, and professional and technical services.",percent
Population (% change),3.1167,2007,NULL,Asian Development Bank,Papua New Guinea,PNG,The Pacific,People,Percentage of people added to (or subtracted from) a population in a year because of natural increase and net migration.,percent
Gross Domestic Product at Current Prices,5151014343,1996,"After 2006, data was taken from the National Budget Report of the Treasury Department.",National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,US Dollar
Gross Domestic Product at Current Prices,4923259873,1997,"After 2006, data was taken from the National Budget Report of the Treasury Department.",National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,US Dollar
Gross Domestic Product at Current Prices,3763280108,1998,"After 2006, data was taken from the National Budget Report of the Treasury Department.",National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,US Dollar
Gross Domestic Product at Current Prices,3434068392,1999,"After 2006, data was taken from the National Budget Report of the Treasury Department.",National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,US Dollar
Gross Domestic Product at Current Prices,3499403341,2000,"After 2006, data was taken from the National Budget Report of the Treasury Department.",National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,US Dollar
Gross Domestic Product at Current Prices,3067913548,2001,"After 2006, data was taken from the National Budget Report of the Treasury Department.",National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,US Dollar
Gross Domestic Product at Current Prices,3047786775,2002,"After 2006, data was taken from the National Budget Report of the Treasury Department.",National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,US Dollar
Imports of Goods and Services (% of GDP),58.27718,2004,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from nonresidents, expressed as a percentage of GDP.",percent
Imports of Goods and Services (% of GDP),56.09283,2005,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Consist of purchases, barter, or receipts of gifts or grants, of goods and services by residents from nonresidents, expressed as a percentage of GDP.",percent
Agriculture (% change),-0.58783,2002,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of agriculture less the corresponding value of intermediate consumption. Agriculture includes hunting, forestry, and fishing.",percent
Industry (% change),2.28581,2002,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of industry sectors less the corresponding value of intermediate consumption. Industry sector includes mining, manufacturing, construction, electricity, gas, steam and air conditioning supply.",percent
Services (% change),5.06741,2002,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Year-on-year percent change at constant prices of the gross output of services sectors less the corresponding value of intermediate consumption. Services includes wholesale and retail trade, transport and storage, accommodation and food service activities, financial and insurance activities, real estate, and professional and technical services.",percent
Gross Domestic Saving (% of GDP),31.0135,2004,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Difference between GDP and total consumption, expressed as a percentage of GDP. Total consumption is the sum of private consumption expenditure and government consumption expenditure.",percent
Gross Domestic Saving (% of GDP),35.89316,2005,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,"Difference between GDP and total consumption, expressed as a percentage of GDP. Total consumption is the sum of private consumption expenditure and government consumption expenditure.",percent
Consumer Price Index,822.15,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Measures changes in prices against a reference period of a basket of goods and services purchased by households.,index
"Consumer Price Index, Food",831.275,2007,"Excludes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of food and non-alcoholic beverage items that households acquire, use or pay for consumption.",index
"Consumer Price Index, Non-Food",815.83507,2007,"Includes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of non-food items (e.g. housing, electricity, transportation, etc.) that households acquire, use or pay for consumption.",index
Consumer price index (capital city),874.975,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",NULL,index
Money Supply (M1),1660275462,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Covers currency holdings by the public (currency in circulation) and demand deposits.,US Dollar
Interest rate on savings deposits,0.8,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for savings deposits.,percent
Interest rate on time deposits of 6 months,1,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits in 6 months.,percent
Interest rate on time deposits of over 12 months,1.3,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits over 12 months.,percent
Current Revenue,2112735428,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Government and Governance,"Revenue accruing from taxes, as well as all current nontax revenues except transfers received from foreign governments and international institutions.",US Dollar
Capital receipts,6946903.401,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Government and Governance,Revenue which constitutes the proceeds from the sale of nonfinancial capital assets.,US Dollar
Grants,243141619,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Government and Governance,Noncompulsory transfers received by government units from other government units or international organizations.,US Dollar
Current Expenditure,1181007301,2007,"Principal repayments to government by statutory authorities and other autorities not shown in receipts but netted out in expenditure category ""Net Lending and Investments.""",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Government and Governance,"Comprises purchases of goods and services by the central government, transfers to noncentral government units and to households, subsidies to producers, and interest on public debt.",US Dollar
Capital expenditure,1030030182,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Government and Governance,"Covers outlays for the acquisition or construction of capital assets and purchase of intangible assets, capital transfers to domestic and foreign recipients, and loans and advances for capital purposes.",US Dollar
Net Lending,-1382636.114,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Government and Governance,"Lending minus repayments, representing the net acquisition of financial assets for policy purposes.",US Dollar
Current surplus/deficit,931728126.5,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Government and Governance,Difference between current revenue and current expenditure.,US Dollar
Capital account surplus/deficit,-1023083279,2007,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Government and Governance,Difference between capital receipts and capital expenditure.,US Dollar
Overall surplus/deficit,153169103.1,2007,"Figures exclude non-budgetary surplus/deficit, hence the item refers to overall budgetary surplus/deficit.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Government and Governance,Difference between total revenue (including grants) and total expenditure (including net lending).,US Dollar
External Trade: Exports (fob),4741025511,2007,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Imports,2622624648,2007,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
Trade Balance,2118400863,2007,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods and services.,US Dollar
External Trade: Exports (% change),9.57057,2007,Data for 2000 are based on balance of payments estimates.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner. Refers to the annual rate of change.",percent
External Trade: Imports (% change),28.24868,2007,Data for 2000 are based on balance of payments estimates.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner. Refers to the annual rate of change.",percent
Current account balance,185625000,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Sum of net exports of goods, services, net income, and net current transfers.",US Dollar
"Balance on goods, net",2120175000,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods.,US Dollar
"BOP: Goods, Exports (fob)",4751662500,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold.",US Dollars
"BOP: Goods, Imports (fob)",-2631487500,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold.",US Dollars
"Services and Income, Net",-2184975000,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollar
Services and Income: Credit,465412500,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollars
Services and Income: Debit,-2650387500,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Services covers traditional items (such as travel and transportation) and items (such as communications, financial and computer services, royalties and license fees, and many types of other business services). Income comprises compensation of employees and investment income (covering direct investment income and other dividends and interest).",US Dollars
Current Transfers: Credit,411412500,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Current transfers include general government (e.g., current international cooperation between different governments, payments of current taxes on income and wealth, etc.), and other transfers (e.g., workers' remittances, premiums-less service charges, and claims on non-life insurance).",US Dollars
Current Transfers: Debit,-160987500,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Current transfers include general government (e.g., current international cooperation between different governments, payments of current taxes on income and wealth, etc.), and other transfers (e.g., workers' remittances, premiums-less service charges, and claims on non-life insurance).",US Dollars
Capital Account Balance,38137500,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all transactions that involve the receipt or payment of capital transfers and acquisition or disposal of nonproduced, nonfinancial assets.",US Dollar
Financial Account,299700000,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all transactions associated with changes of ownership in the foreign financial assets and liabilities of an economy. Such changes include the creation and liquidation of claims on, or by, the rest of the world.",US Dollar
"Direct Investment, Net",88087500,2007,"Follows the IMF Balance of Payment Manual 5 format starting 2002. Includes official and private capital flows, unofficial monetary sector transactions, change in offshore accounts balances, and revaluations.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Covers all transactions between direct investors and direct investment enterprises.,US Dollar
"Portfolio Investment, Net",408375000,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Covers transactions in equity securities and debt securities.,US Dollar
Financial Derivatives,-92475000,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Financial instruments that are linked to a specific financial instrument or indicator or commodity, and through which specific financial risks can be traded in financial markets in their own right.",US Dollar
Other Investment,-104287500,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers short- and long-term trade credits; loans (including use of Fund credit, loans from the Fund, and loans associated with financial leases); currency and deposits (transferable and other such as savings and term deposits, savings and loan shares, shares in credit unions, etc.); and other accounts receivable and payable.",US Dollar
Net Errors and Omissions,13837500,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Data for balance of payments estimates often are derived independently from different sources; as a result, there may be a summary net credit or net debit (i.e., net errors and omissions in the accounts). A separate entry, equal to that amount with the sign reversed, is then made to balance the accounts.",US Dollar
Overall Balance,537300000,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Equal to the sum of current and capital and financial account transactions, with the exclusion of transactions in reserve assets and exceptional financing.",US Dollar
BOP: Exports (% of GDP),49.78216,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold, expressed as a percentage of GDP.",percent
BOP: Imports (% of GDP),27.56954,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Comprise all transactions between residents of a country and the rest of the world involving a change of ownership from residents to nonresidents of general merchandise, goods sent for processing and repairs, and nonmonetary gold, expressed as a percentage of GDP.",percent
Current Account Balance (% of GDP),1.94475,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Sum of net exports of goods, services, net income, and net current transfers, expressed as a percentage of GDP.",percent
Overall Balance (% of GDP),5.62918,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Equal to the sum of current and capital and financial account transactions, with the exclusion of transactions in reserve assets and exceptional financing, expressed as a percentage of GDP.",percent
"Current Transfers, Net",197301600,2006,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Current transfers include general government (e.g. current international cooperation between different governments, payments of current taxes on income and wealth, etc.), and other transfers (e.g. workers` remittances, premiums-less service charges, and claims on non-life insurance).",US Dollar
"Current Transfers, Net",250425000,2007,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Current transfers include general government (e.g. current international cooperation between different governments, payments of current taxes on income and wealth, etc.), and other transfers (e.g. workers` remittances, premiums-less service charges, and claims on non-life insurance).",US Dollar
Net Factor Income from Abroad at Current Prices,-106515164.7,2002,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,The total value of primary income receivable from outside domestic boundaries less the total value payable to nonresidents.,US Dollar
Gross National Income at Current Prices,2941271610,2002,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,GDP minus primary incomes payable to nonresident units plus primary incomes receivable from nonresident units.,US Dollar
Gross Domestic Product (% change),-6.34336,1997,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Annual change in the unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,percent
Gross Domestic Product (% change),6.59997,1996,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Annual change in the unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,percent
Gross Domestic Product (% change),4.68033,1998,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Annual change in the unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,percent
Gross Domestic Product (% change),-2.45461,2000,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,Annual change in the unduplicated market value of the total production activity of all resident producer units within the economic territory of a country during a given period.,percent
